latitude,longitude,species,H5N1,H5N2,H7N2,H7N8,timestamp,provenance
47.246533582656554,7.583821514223704,Eurasian Blue Tit,0.0,0.0,0.0,0.0,2021-07-06,Wild
47.686283065075045,9.520193233292556,Eurasian Magpie,1.0,0.0,0.0,0.0,2013-09-20,Wild
46.3794023683572,10.36212304164199,Eurasian Blue Tit,0.0,0.0,0.0,1.0,2013-10-01,Wild
46.07413201923907,6.380292490985066,Duck,0.0,0.0,,,2014-09-23,Livestock
47.05862223370779,8.326585715524914,Great Tit,,0.0,0.0,,2011-08-24,Wild
47.78868966676714,6.831144370609281,Duck,1.0,0.0,0.0,0.0,2022-06-01,Livestock
46.557708445231626,9.774960705211768,Chicken,,0.0,,,2019-10-28,Livestock
46.4510633887562,7.517660661869477,Common Chaffinch,0.0,1.0,0.0,0.0,2023-02-25,Wild
47.65265347643929,9.626341222382958,Chicken,0.0,,,,2020-10-25,Livestock
46.796852117370705,6.673778554989459,Turkey,0.0,1.0,0.0,0.0,2021-05-27,Livestock
47.678872480153615,7.4010669948879,Chicken,0.0,1.0,0.0,0.0,2019-02-02,Livestock
46.077063076045334,10.265254048933645,European Robin,0.0,0.0,1.0,0.0,2020-11-20,Wild
46.84403179899128,10.131830348360381,House Sparrow,0.0,0.0,0.0,,2016-10-28,Wild
47.04706385108963,6.15401779973689,Chicken,0.0,0.0,1.0,0.0,2013-08-14,Livestock
47.618606512524075,7.454344249728598,Goose,,0.0,,0.0,2014-03-13,Livestock
45.90832344050945,6.6945498070842016,Goose,,,0.0,0.0,2018-09-02,Livestock
46.91133184375718,7.797301737517765,Chicken,0.0,0.0,0.0,,2020-02-23,Livestock
47.386289875967506,7.823432753163388,Eurasian Magpie,0.0,0.0,0.0,1.0,2019-01-01,Wild
47.22956316241153,8.79065593664235,Chicken,1.0,0.0,0.0,0.0,2021-08-07,Livestock
45.927928254283586,6.7886276270935735,Duck,0.0,0.0,0.0,1.0,2012-09-09,Livestock
47.70618283581369,8.283116701734276,Chicken,,0.0,0.0,,2024-04-26,Livestock
